IUPAC Name;Common Name;Abbreviation;Category;Inchi;SMILES;Function;Work_Voltage (V);Reference;HOMO_Pred (eV);LUMO_Pred (eV);DN_Pred (kcal/mol);DC_Pred
methyl 2,2-difluoroacetate;Methyl difluoroacetate;MDFA;Other Esters;InChI=1S/C3H4F2O2/c1-7-3(6)2(4)5/h2H,1H3;COC(=O)C(F)F;WSE;4.0;Nature 614.7949 (2023): 694-700(DOI:10.1038/s41586-022-05627-8);-11.045310;1.450225;7.666252;11.739646
ethyl 2,2,2-trifluoroacetate;Ethyl trifluoroacetate;ETFA;Other Esters;InChI=1S/C4H5F3O2/c1-2-9-3(8)4(5,6)7/h2H2,1H3;CCOC(=O)C(F)(F)F;Diluent;5.2;ACS Energy Lett. 2022, 7, 10, 3581?3592(DOI:10.1021/acsenergylett.2c01840);-11.351408;1.506626;6.125739;13.451475
2-[2-(2,2-difluoroethoxy)ethoxy]-1,1-difluoroethane;1,2-Bis(2,2-difluoroethoxy)ethane;F4DEE;Ethers;InChI=1S/C6H10F4O2/c7-5(8)3-11-1-2-12-4-6(9)10/h5-6H,1-4H2;FC(F)COCCOCC(F)F;WSE;4.4;Nat Energy 7, 94?106 (2022)(DOI:10.1038/s41560-021-00962-y);-9.865987;1.677394;13.023346;15.323919
2-[2-(2,2-difluoroethoxy)ethoxy]-1,1,1-trifluoroethane;1-Difluoroethoxy-2-Trifluoroethoxyethane;F5DEE;Ethers;InChI=1S/C6H9F5O2/c7-5(8)3-12-1-2-13-4-6(9,10)11/h5H,1-4H2;FC(F)COCCOCC(F)(F)F;WSE;4.4;Nat Energy 7, 94?106 (2022)(DOI:10.1038/s41560-021-00962-y);-10.074290;1.624512;10.543960;8.846378
1,1,1-trifluoro-2-[2-(2,2,2-trifluoroethoxy)ethoxy]ethane;1,1,1-Trifluoro-2-(2-(2,2,2-trifluoroethoxy)ethoxy)ethane;F6DEE;Ethers;InChI=1S/C6H8F6O2/c7-5(8,9)3-13-1-2-14-4-6(10,11)12/h1-4H2;FC(F)(F)COCCOCC(F)(F)F;WSE;4.4;Nat Energy 7, 94?106 (2022)(DOI:10.1038/s41560-021-00962-y);-10.062019;1.556764;8.308863;6.703472
1,3-dioxane;1,3-dioxane;1,3-DX(DX,DOX);Ethers;InChI=1S/C4H8O2/c1-2-5-4-6-3-1/h1-4H2;C1COCOC1;WSE;1.2;Angew. Chem. Int. Ed. 2021, 60, 4090 ? 4097(DOI:10.1002/anie.202011482);-9.951806;1.726886;18.385752;8.216034
methyl 2,2,3,3,3-pentafluoropropanoate;Methyl pentafluoropropionate;5FMP;Other Esters;InChI=1S/C4H3F5O2/c1-11-2(10)3(5,6)4(7,8)9/h1H3;COC(=O)C(C(F)(F)F)(F)F;Diluent;5.0;J. Electrochem. Soc. 2020,167 040508(DOI:10.1149/1945-7111/ab7181);-11.450214;1.244438;1.558215;12.255931
1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxybutane;Methyl nonafluorobutyl ether;MTE(MFE,M3);Ethers;InChI=1S/C5H3F9O/c1-15-5(13,14)3(8,9)2(6,7)4(10,11)12/h1H3;COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F  ;Diluent;4.0;ACS Energy Lett. 2025, 10, 1, 177?184(DOI:10.1021/acsenergylett.4c02751);-11.842291;1.522615;0.158542;10.211869
methyl 2,3,3,3-tetrafluoropropanoate;Methyl 2,3,3,3-tetrafluoropropionate;M4FP(4FMP);Other Esters;InChI=1S/C4H4F4O2/c1-10-3(9)2(5)4(6,7)8/h2H,1H3;COC(=O)C(C(F)(F)F)F;WSE!Diluent;4.0;Nature 614.7949 (2023): 694-700(DOI:10.1038/s41586-022-05627-8)!J. Electrochem. Soc. 2020,167 040508(DOI:10.1149/1945-7111/ab7181);-11.168085;1.476257;4.198395;9.979909
methyl 2,2-difluoro-2-fluorosulfonylacetate;Methyl 2,2-difluoro-2-(fluorosulfonyl)acetate;MDFSA;Sulfones/Sulfoxides;InChI=1S/C3H3F3O4S/c1-10-2(7)3(4,5)11(6,8)9/h1H3;COC(=O)C(F)(F)S(=O)(=O)F;WSE;4.0;Nature 614.7949 (2023): 694-700(DOI:10.1038/s41586-022-05627-8);-11.629028;0.851980;7.787413;27.502517
2-[bis(2,2,2-trifluoroethoxy)methoxy]-1,1,1-trifluoroethane;Tris(2,2,2-trifluoroethyl)orthoformate;TFEO;Ethers;InChI=1S/C7H7F9O3/c8-5(9,10)1-17-4(18-2-6(11,12)13)19-3-7(14,15)16/h4H,1-3H2;C(C(F)(F)F)OC(OCC(F)(F)F)OCC(F)(F)F;Diluent;6.0;Nat. Energy 2019, 4,796?805(DOI:10.1038/s41560-019-0464-5);-11.247132;1.558195;1.593373;12.204906
1,1,1,3,3,3-hexafluoro-2-methoxypropane;Hexafluoroisopropyl methyl ether;HFPM;Ethers;InChI=1S/C4H4F6O/c1-11-2(3(5,6)7)4(8,9)10/h2H,1H3;COC(C(F)(F)F)C(F)(F)F;Diluent;5.0;Electrochimica Acta 320 (2019) 134633(DOI:10.1016/j.electacta.2019.134633);-10.828985;1.605204;5.143179;12.711452
1-(2-butoxyethoxy)butane;Ethylene glycol dibutyl ether;EGDE(EGDBE);Ethers;InChI=1S/C10H22O2/c1-3-5-7-11-9-10-12-8-6-4-2/h3-10H2,1-2H3;CCCCOCCOCCCC;WSE;4.5;ACS Energy Lett. 2023, 8, 8, 3586?3594(DOI:10.1021/acsenergylett.3c01091);-9.308794;1.771926;21.938250;7.081186
ethoxymethoxyethane;diethoxymethane;DEM;Ethers;InChI=1S/C5H12O2/c1-3-6-5-7-4-2/h3-5H2,1-2H3;CCOCOCC;WSE;4.4;ACS Appl. Mater. Interfaces 2022, 14, 39, 44470?44478(DOI:10.1021/acsami.2c13517)!Adv. Funct. Mater. 2025, 35, 2511172(DOI:10.1002/adfm.202511172);-9.741958;1.771429;18.997233;6.791131
1,2-dimethoxypropane;1,2-dimethoxypropane;DMP;Ethers;InChI=1S/C5H12O2/c1-5(7-3)4-6-2/h5H,4H2,1-3H3;CC(COC)OC;WSE;4.5;ACS Energy Lett. 2023, 8, 179-188?DOI:10.1021/acsenergylett.2c02003);-9.537456;1.762977;19.704609;5.324911
1-propoxypropane;dipropyl ether;DPE;Ethers;InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3;CCCOCCC;WSE;4.3;Nat Commun 14, 868 (2023)(DOI:10.1038/s41467-023-36647-1);-9.517815;1.851054;20.971545;4.792041
1-methoxybutane;butyl methyl ether;BME;Ethers;InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3;CCCCOC;WSE;3.0;Angew. Chem. Int. Ed. 2023, 62, e202310761(DOI:10.1002/anie.202310761);-9.626230;1.816592;20.609335;4.48076
1,1,1-trifluoro-2,3-dimethoxypropane;;TFDMP;Ethers;InChI=1S/C5H9F3O2/c1-9-3-4(10-2)5(6,7)8/h4H,3H2,1-2H3;COCC(C(F)(F)F)OC;WSE;4.8;Nat Commun 14, 299 (2023)(DOI:10.1038/s41467-023-35934-1);-9.910611;1.660332;13.190327;10.56003
2,2-dimethoxy-4-(trifluoromethyl)-1,3-dioxolane;;DTDL;Ethers;InChI=1S/C6H9F3O4/c1-10-6(11-2)12-3-4(13-6)5(7,8)9/h4H,3H2,1-2H3;COC1(OC)OCC(C(F)(F)F)O1;WSE;5.5;Nat Commun 13, 2575 (2022)(DOI:10.1038/s41467-022-29199-3);-10.575421;1.559261;10.515418;6.926183
2-ethoxy-4-(trifluoromethyl)-1,3-dioxolane;;cFTOF;Ethers;InChI=1S/C6H9F3O3/c1-2-10-5-11-3-4(12-5)6(7,8)9/h4-5H,2-3H2,1H3;CCOC1OCC(C(F)(F)F)O1;WSE;6.0;Angew. Chem. Int. Ed. 2022, 61, e202115884(DOI:10.1002/anie.202115884);-10.260212;1.595025;12.331234;10.42035
4-(trifluoromethyl)-1,3-dioxolane;;TFDOL;Ethers;InChI=1S/C4H5F3O2/c5-4(6,7)3-1-8-2-9-3/h3H,1-2H2;C1C(OCO1)C(F)(F)F;WSE;5.0;ACS Energy Lett. 2023, 8, 7, 3180?3187(DOI:10.1021/acsenergylett.3c01004);-10.356391;1.589077;11.044289;5.745459
2-(2,2,2-trifluoroethoxy)-4(trifluoromethyl)-1,3-dioxolane;;TTD;Ethers;InChI=1S/C6H6F6O3/c7-5(8,9)2-14-4-13-1-3(15-4)6(10,11)12/h3-4H,1-2H2;C1C(C(F)(F)F)OC(O1)OCC(F)(F)F;Diluent;6.0;ACS Appl. Energy Mater. 2022, 5, 6, 7784?7790(DOI:10.1021/acsaem.2c01261);-10.736046;1.525457;6.279429;7.853506
