IUPAC Name;Common Name;Abbreviation;Inchi;SMILES;SAScore;Reference
N-ethyl-1,1,1-trifluoro-N-methylmethanesulfonamide;N-ethyl-N-methyl-trifluoromethanesulfonamide;33(2);InChI=1S/C4H8F3NO2S/c1-3-8(2)11(9,10)4(5,6)7/h3H2,1-2H3;CCN(C)S(=O)(=O)C(F)(F)F;2.745;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
N,N-diethyl-1,1,1-trifluoromethanesulfonamide;N,N-diethyl-trifluoromethanesulfonamide;33(3);InChI=1S/C5H10F3NO2S/c1-3-9(4-2)12(10,11)5(6,7)8/h3-4H2,1-2H3;CCN(CC)S(=O)(=O)C(F)(F)F;2.524;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
1,1,1-trifluoro-N,N-bis(2-methoxyethyl)methanesulfonamide;N,N-bis(2-methoxyethyl)-1,1,1-trifluoro-methanesulfonamide;33(4);InChI=1S/C7H14F3NO4S/c1-14-5-3-11(4-6-15-2)16(12,13)7(8,9)10/h3-6H2,1-2H3;COCCN(CCOC)S(=O)(=O)C(F)(F)F;2.570;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
1,1,2,2,2-pentafluoro-N,N-dimethylethanesulfonamide;N,N-Dimethyl-1,1,2,2,2-pentafluoroethanesulfonamide;34(1);InChI=1S/C4H6F5NO2S/c1-10(2)13(11,12)4(8,9)3(5,6)7/h1-2H3;CN(C)S(=O)(=O)C(F)(F)C(F)(F)F;2.939;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
N-ethyl-1,1,2,2,2-pentafluoro-N-methylethanesulfonamide;N-ethyl-N-methyl-1,1,2,2,2-pentafluoro-ethanesulfonamide;34(2);InChI=1S/C5H8F5NO2S/c1-3-11(2)14(12,13)5(9,10)4(6,7)8/h3H2,1-2H3;CCN(C)S(=O)(=O)C(F)(F)C(F)(F)F;2.963;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
N,N-diethyl-1,1,2,2,2-pentafluoroethanesulfonamide;N,N-diethyl-1,1,2,2,2-pentafluoro-ethanesulfonamide;34(3);InChI=1S/C6H10F5NO2S/c1-3-12(4-2)15(13,14)6(10,11)5(7,8)9/h3-4H2,1-2H3;CCN(CC)S(=O)(=O)C(F)(F)C(F)(F)F;2.757;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
2,3-diacetyloxypropyl acetate;Triacetin;;InChI=1S/C9H14O6/c1-6(10)13-4-9(15-8(3)12)5-14-7(2)11/h9H,4-5H2,1-3H3;CC(=O)OCC(COC(C)=O)OC(C)=O;2.246;ACS Appl. Mater. Interfaces 2024, 16, 19, 24590?24600(DOI:10.1021/acsami.4c02323)
2-methylpropanenitrile;i-Butyronitrile (Isobutyronitrile);iBN;InChI=1S/C4H7N/c1-4(2)3-5/h4H,1-2H3;N#CC(C)C;2.657;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
2-ethoxyoxolane;2-Ethoxytetrahydrofuran;2-ETHF;InChI=1S/C6H12O2/c1-2-7-6-4-3-5-8-6/h6H,2-5H2,1H3;CCOC1CCCO1;2.731;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
2-methyloxane;2-Methyltetrahydropyran;2-MeTHP;InChI=1S/C6H12O/c1-6-4-2-3-5-7-6/h6H,2-5H2,1H3;CC1CCCCO1;2.615;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
3-methyloxane;3-Methyltetrahydropyran;3-MeTHP;InChI=1S/C6H12O/c1-6-3-2-4-7-5-6/h6H,2-5H2,1H3;CC1CCCOC1;2.775;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
2-methoxyoxane;2-Methoxytetrahydropyran;2-MTHP;InChI=1S/C6H12O2/c1-7-6-4-2-3-5-8-6/h6H,2-5H2,1H3;COC1CCCCO1;2.786;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
7-oxabicyclo[2.2.1]heptane;7-oxabicyclo[2.2.1]heptane(1,4-Epoxycyclohexane);7-OBCH;InChI=1S/C6H10O/c1-2-6-4-3-5(1)7-6/h5-6H,1-4H2;C1CC2CCC1O2;3.526;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
oxepane;Hexamethylene oxide(Oxepane);HMO;InChI=1S/C6H12O/c1-2-4-6-7-5-3-1/h1-6H2;C1CCCOCC1;1.846;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
2,2-dimethyl-1,3-dioxolane;2,2-dimethyl-1,3-dioxolane;2,2-DMDOL;InChI=1S/C5H10O2/c1-5(2)6-3-4-7-5/h3-4H2,1-2H3;CC1(OCCO1)C;2.803;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
2-ethyl-2-methyl-1,3-dioxolane;2-Ethyl-2-methyl-1,3-dioxolane;2,2-EMDOL;InChI=1S/C6H12O2/c1-3-6(2)7-4-5-8-6/h3-5H2,1-2H3;CCC1(OCCO1)C;2.981;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
1,3-dioxane;1,3-dioxane;DOX(DX);InChI=1S/C4H8O2/c1-2-5-4-6-3-1/h1-4H2;C1COCOC1;2.728;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
4-methyl-1,3-dioxane;4-Methyl-1,3-dioxane;4-MeDOX;InChI=1S/C5H10O2/c1-5-2-3-6-4-7-5/h5H,2-4H2,1H3;CC1CCOCO1;3.428;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
2,4-dimethyl-1,3-dioxane;2,4-dimethyl-1,3-dioxane;2,4-DMDOX;InChI=1S/C6H12O2/c1-5-3-4-7-6(2)8-5/h5-6H,3-4H2,1-2H3;CC1CCOC(O1)C;3.718;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
1,3-dioxepane;1,3-dioxepane;DOXP;InChI=1S/C5H10O2/c1-2-4-7-5-6-3-1/h1-5H2;C1CCOCOC1;2.616;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
methyl 2,2,3,3,3-pentafluoropropanoate;Methyl pentafluoropropionate;5FMP;InChI=1S/C4H3F5O2/c1-11-2(10)3(5,6)4(7,8)9/h1H3;COC(=O)C(C(F)(F)F)(F)F;2.507;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
methyl 2,3,3,3-tetrafluoro-2-(trifluoromethyl)propanoate;Methyl Heptafluoroisobutyrate;;InChI=1S/C5H3F7O2/c1-14-2(13)3(6,4(7,8)9)5(10,11)12/h1H3;COC(=O)C(C(F)(F)F)(C(F)(F)F)F;2.883;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
ethyl 2,2,3,3,4,4,4-heptafluorobutanoate;Ethyl heptafluorobutyrate;;InChI=1S/C6H5F7O2/c1-2-15-3(14)4(7,8)5(9,10)6(11,12)13/h2H2,1H3;CCOC(=O)C(C(C(F)(F)F)(F)F)(F)F;2.471;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
diethyl oxalate;Diethyl oxalate;DEO;InChI=1S/C6H10O4/c1-3-9-5(7)6(8)10-4-2/h3-4H2,1-2H3;CCOC(=O)C(=O)OCC;1.922;J. Electrochem. Soc. 2015,162 A3084 (DOI:10.1149/2.0121502jes)
1-nitrocyclohexene;1-nitrocyclohexene;NcHexene;InChI=1S/C6H9NO2/c8-7(9)6-4-2-1-3-5-6/h4H,1-3,5H2;C1CCC(=CC1)[N+](=O)[O-];3.177;J. Electrochem. Soc. 2015,162 A3084 (DOI:10.1149/2.0121502jes)
1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxybutane;Methyl nonafluorobutyl ether;MTE(MFE,M3);InChI=1S/C5H3F9O/c1-15-5(13,14)3(8,9)2(6,7)4(10,11)12/h1H3;COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F  ;2.809;Electrochemistry 76.1 (2008): 2-15(DOI:10.5796/electrochemistry.76.2)
methyl 2,3,3,3-tetrafluoropropanoate;Methyl 2,3,3,3-tetrafluoropropionate;M4FP(4FMP);InChI=1S/C4H4F4O2/c1-10-3(9)2(5)4(6,7)8/h2H,1H3;COC(=O)C(C(F)(F)F)F;3.266;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
methyl 2,2-difluoro-2-fluorosulfonylacetate;Methyl 2,2-difluoro-2-(fluorosulfonyl)acetate;MDFSA;InChI=1S/C3H3F3O4S/c1-10-2(7)3(4,5)11(6,8)9/h1H3;COC(=O)C(F)(F)S(=O)(=O)F;2.861;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
N,N-dimethyl-2-oxo-1,3,2lambda5-dioxaphospholan-2-amine;2-(N,Ndimethylamino)-1,3,2-dioxaphospholane 2-oxide;DMAP;InChI=1S/C4H10NO3P/c1-5(2)9(6)7-3-4-8-9/h3-4H2,1-2H3;CN(C)P1(=O)OCCO1;4.281;ACS Energy Lett. 2024, 9, 3628-3635(10.1021/acsenergylett.4c01579)
1,1,1,3,3,3-hexafluoro-2-methoxypropane;Hexafluoroisopropyl methyl ether;HFPM(HFME);InChI=1S/C4H4F6O/c1-11-2(3(5,6)7)4(8,9)10/h2H,1H3;COC(C(F)(F)F)C(F)(F)F;2.998;Acta Phys. -Chim. Sin. 2022, 38 (11), 2205005(DOI:10.3866/PKU.WHXB202205005)
1,1,1,2,3,3-hexafluoro-3-(2,2,2-trifluoroethoxy)propane;1,1,2,3,3,3-Hexafluoropropyl 2,2,2-trifluoroethyl ether;THF-2;InChI=1S/C5H3F9O/c6-2(4(10,11)12)5(13,14)15-1-3(7,8)9/h2H,1H2;C(C(F)(F)F)OC(C(C(F)(F)F)F)(F)F;3.488;Acta Phys. -Chim. Sin. 2022, 38 (11), 2205005(DOI:10.3866/PKU.WHXB202205005)
butanedinitrile;Succinonitrile;SN(SCN);InChI=1S/C4H4N2/c5-3-1-2-4-6/h1-2H2;C(CC#N)C#N;3.146;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
1,2-bis(2-fluoroethoxy)ethane;;FDEE(E2CH2F);InChI=1S/C6H12F2O2/c7-1-3-9-5-6-10-4-2-8/h1-6H2;C(COCCF)OCCF;2.793;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1-(2-butoxyethoxy)butane;Ethylene glycol dibutyl ether;EGDE(EGDBE);InChI=1S/C10H22O2/c1-3-5-7-11-9-10-12-8-6-4-2/h3-10H2,1-2H3;CCCCOCCOCCCC;1.838;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
ethoxymethoxyethane;diethoxymethane;DEM;InChI=1S/C5H12O2/c1-3-6-5-7-4-2/h3-5H2,1-2H3;CCOCOCC;2.272;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1,2-dimethoxypropane;1,2-dimethoxypropane;DMP;InChI=1S/C5H12O2/c1-5(7-3)4-6-2/h5H,4H2,1-3H3;CC(COC)OC;2.767;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1-propoxypropane;dipropyl ether;DPE;InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3;CCCOCCC;1.829;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1-methoxy-2-(2-methoxyethoxymethoxy)ethane;;BME2;InChI=1S/C7H16O4/c1-8-3-5-10-7-11-6-4-9-2/h3-7H2,1-2H3;COCCOCOCCOC;2.207;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1-methoxybutane;butyl methyl ether;BME;InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3;CCCCOC;1.482;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1,4,7,10,13-pentaoxacyclopentadecane;;15-C-5;InChI=1S/C10H20O5/c1-2-12-5-6-14-9-10-15-8-7-13-4-3-11-1/h1-10H2;C1COCCOCCOCCOCCO1;2.222;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1,1,1-trifluoro-2,3-dimethoxypropane;;TFDMP;InChI=1S/C5H9F3O2/c1-9-3-4(10-2)5(6,7)8/h4H,3H2,1-2H3;COCC(C(F)(F)F)OC;3.230;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
2,2-dimethoxy-4-(trifluoromethyl)-1,3-dioxolane;;DTDL;InChI=1S/C6H9F3O4/c1-10-6(11-2)12-3-4(13-6)5(7,8)9/h4H,3H2,1-2H3;COC1(OC)OCC(C(F)(F)F)O1;4.257;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
2-ethoxy-4-(trifluoromethyl)-1,3-dioxolane;;cFTOF;InChI=1S/C6H9F3O3/c1-2-10-5-11-3-4(12-5)6(7,8)9/h4-5H,2-3H2,1H3;CCOC1OCC(C(F)(F)F)O1;4.175;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
4-(trifluoromethyl)-1,3-dioxolane;;TFDOL;InChI=1S/C4H5F3O2/c5-4(6,7)3-1-8-2-9-3/h3H,1-2H2;C1C(OCO1)C(F)(F)F;3.834;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
2-(2,2,2-trifluoroethoxy)-4(trifluoromethyl)-1,3-dioxolane;;TTD;InChI=1S/C6H6F6O3/c7-5(8,9)2-14-4-13-1-3(15-4)6(10,11)12/h3-4H,1-2H2;C1C(C(F)(F)F)OC(O1)OCC(F)(F)F;4.221;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1-fluoro-2-(2-fluoroethoxy)ethane;;BFE(E1CH2F);InChI=1S/C4H8F2O/c5-1-3-7-4-2-6/h1-4H2;C(CF)OCCF;3.040;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
1,2-bis(2-chloroethoxy)ethane;;Cl-DEE;InChI=1S/C6H12Cl2O2/c7-1-3-9-5-6-10-4-2-8/h1-6H2;C(COCCCl)OCCCl;2.561;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
(2,2,3,3-tetrafluoro-4-nitrooxybutyl) nitrate;;AFA;InChI=1S/C4H4F4N2O6/c5-3(6,1-15-9(11)12)4(7,8)2-16-10(13)14/h1-2H2;C(C(C(CO[N+](=O)[O-])(F)F)(F)F)O[N+](=O)[O-];3.463;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
2,2,2-trifluoroethyl trifluoromethanesulfonate;;TTMS;InChI=1S/C3H2F6O3S/c4-2(5,6)1-12-13(10,11)3(7,8)9/h1H2;C(C(F)(F)F)OS(=O)(=O)C(F)(F)F;2.751;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
2,2,2-trifluoroethyl methanesulfonate;;TM;InChI=1S/C3H5F3O3S/c1-10(7,8)9-2-3(4,5)6/h2H2,1H3;CS(=O)(=O)OCC(F)(F)F;2.583;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
N,N-diethyl-2,3,3,3-tetrafluoropropanamide;;DETFP;InChI=1S/C7H11F4NO/c1-3-12(4-2)6(13)5(8)7(9,10)11/h5H,3-4H2,1-2H3;CCN(CC)C(=O)C(C(F)(F)F)F;3.213;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
2-(2,2-difluoroethoxy)-1,1-difluoroethane;bis(2,2-difluoroethyl)ether;BDE;InChI=1S/C4H6F4O/c5-3(6)1-9-2-4(7)8/h3-4H,1-2H2;C(C(F)F)OCC(F)F;3.145;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1,1,1-trifluoro-2-(2,2,2-trifluoroethoxymethoxy)ethane;;BTFM;InChI=1S/C5H6F6O2/c6-4(7,8)1-12-3-13-2-5(9,10)11/h1-3H2;C(C(F)(F)F)OCOCC(F)(F)F;2.727;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1,1,2,2-tetrafluoro-3-methoxypropane;;TFMP;InChI=1S/C4H6F4O/c1-9-2-4(7,8)3(5)6/h3H,2H2,1H3;COCC(C(F)F)(F)F;2.921;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
3-fluoropyridine;;3-FPN;InChI=1S/C5H4FN/c6-5-2-1-3-7-4-5/h1-4H;C1=CC(=CN=C1)F;1.734;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
2,3-dimethoxy-2,3-dimethylbutane;;DMDMB;InChI=1S/C8H18O2/c1-7(2,9-5)8(3,4)10-6/h1-6H3;CC(C)(C(C)(C)OC)OC;2.816;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
2,2,4,4,5,5-hexamethyl-1,3-dioxolane;;HMD;InChI=1S/C9H18O2/c1-7(2)8(3,4)11-9(5,6)10-7/h1-6H3;CC1(C(OC(O1)(C)C)(C)C)C;3.125;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1-(2-fluoroethoxy)-2-[2-(2-fluoroethoxy)ethoxy]ethane;;E3CH2F;InChI=1S/C8H16F2O3/c9-1-3-11-5-7-13-8-6-12-4-2-10/h1-8H2;C(COCCF)OCCOCCF;2.589;ACS Energy Lett. 2024, 9, 12, 6144?6152(DOI:10.1021/acsenergylett.4c01999)
2-methoxyethyl methyl carbonate;;MOEMC;InChI=1S/C5H10O4/c1-7-3-4-9-5(6)8-2/h3-4H2,1-2H3;COCCOC(=O)OC;2.054;CALiSol-23,Sci Data 11, 750 (2024)(DOI:10.1038/s41597-024-03575-8)
1-[2-(2-butoxyethoxy)ethoxy]butane;diethylene glycol dibutyl ether ;DGDE;InChI=1S/C12H26O3/c1-3-5-7-13-9-11-15-12-10-14-8-6-4-2/h3-12H2,1-2H3;CCCCOCCOCCOCCCC;1.886;Adv. Funct. Mater. 2024, 34, 2313319(DOI:10.1002/adfm.202313319)
1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane;1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane  ;EFE;InChI=1S/C6H5F9O/c1-2-16-6(14,15)4(9,10)3(7,8)5(11,12)13/h2H2,1H3;CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F;2.878;Electrochemistry 76.1 (2008): 2-15(DOI:10.5796/electrochemistry.76.2)
butyl methyl carbonate;butyl methyl carbonate ;n-BMC;InChI=1S/C6H12O3/c1-3-4-5-9-6(7)8-2/h3-5H2,1-2H3;CCCCOC(=O)OC;1.927;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
methyl 2-methylpropyl carbonate;isobutyl methyl carbonate;i-BMC;InChI=1S/C6H12O3/c1-5(2)4-9-6(7)8-3/h5H,4H2,1-3H3;CC(C)COC(=O)OC;2.095;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
butan-2-yl methyl carbonate;s-butyl methyl carbonate;s-BMC;InChI=1S/C6H12O3/c1-4-5(2)9-6(7)8-3/h5H,4H2,1-3H3;CCC(C)OC(=O)OC;2.695;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
4-propyl-1,3-dioxolan-2-one;4-propyl-1,3-dioxolan-2-one;PIC;InChI=1S/C6H10O3/c1-2-3-5-4-8-6(7)9-5/h5H,2-4H2,1H3;CCCC1COC(=O)O1;3.196;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
propyl 2,2,2-trifluoroethyl carbonate;propyl 2,2,2-trifluoroethyl carbonate;PTFEC;InChI=1S/C6H9F3O3/c1-2-3-11-5(10)12-4-6(7,8)9/h2-4H2,1H3;CCCOC(=O)OCC(F)(F)F;2.311;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
1,1,1,3,3,3-hexafluoropropan-2-yl methyl carbonate;Hexafluoroisopropyl methyl carbonate;MHFPC;InChI=1S/C5H4F6O3/c1-13-3(12)14-2(4(6,7)8)5(9,10)11/h2H,1H3;COC(=O)OC(C(F)(F)F)C(F)(F)F;2.865;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
ethyl 1,1,1,3,3,3-hexafluoropropan-2-yl carbonate;Ethyl hexafluoroisopropyl carbonate;EHFPC;InChI=1S/C6H6F6O3/c1-2-14-4(13)15-3(5(7,8)9)6(10,11)12/h3H,2H2,1H3;CCOC(=O)OC(C(F)(F)F)C(F)(F)F;2.740;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
4-(2,2,3,3,3-pentafluoropropoxymethyl)-1,3-dioxolan-2-one;4-(2,2,3,3,3-pentafluoropropoxymethyl)-1,3-dioxolan-2-one;;InChI=1S/C7H7F5O4/c8-6(9,7(10,11)12)3-14-1-4-2-15-5(13)16-4/h4H,1-3H2;C1C(OC(=O)O1)COCC(C(F)(F)F)(F)F;3.519;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
propyl butanoate;propyl butyrate;;InChI=1S/C7H14O2/c1-3-5-7(8)9-6-4-2/h3-6H2,1-2H3;CCCC(=O)OCCC;1.764;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
butyl butanoate;butyl butyrate;;InChI=1S/C8H16O2/c1-3-5-7-10-8(9)6-4-2/h3-7H2,1-2H3;CCCCOC(=O)CCC;1.712;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
1-butylsulfonylbutane;Butyl sulfone;BS;InChI=1S/C8H18O2S/c1-3-5-7-11(9,10)8-6-4-2/h3-8H2,1-2H3;CCCCS(=O)(=O)CCCC;2.074;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
1-(2-methylpropylsulfonyl)butane;butyl-i-butyl sulfone;BiBS;InChI=1S/C8H18O2S/c1-4-5-6-11(9,10)7-8(2)3/h8H,4-7H2,1-3H3;CCCCS(=O)(=O)CC(C)C ;2.237;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
3-ethoxypropanenitrile;3-ethoxypropanenitrile;EPN;InChI=1S/C5H9NO/c1-2-7-5-3-4-6/h2-3,5H2,1H3;CCOCCC#N;2.385;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
3-(2,2,2-trifluoroethoxy)propanenitrile;3-(2,2,2-trifluoroethoxy)propanenitrile;FEPN;InChI=1S/C5H6F3NO/c6-5(7,8)4-10-3-1-2-9/h1,3-4H2;C(COCC(F)(F)F)C#N;2.621;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
1-(dimethoxyphosphorylmethoxy)-2-methoxyethane;1-(dimethoxyphosphorylmethoxy)-2-methoxyethane;DMMEMP;InChI=1S/C6H15O5P/c1-8-4-5-11-6-12(7,9-2)10-3/h4-6H2,1-3H3;COCCOCP(=O)(OC)OC;2.831;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
1-(diethoxyphosphorylmethoxy)-2-methoxyethane;1-(diethoxyphosphorylmethoxy)-2-methoxyethane;DEMEMP;InChI=1S/C8H19O5P/c1-4-12-14(9,13-5-2)8-11-7-6-10-3/h4-8H2,1-3H3;CCOP(=O)(COCCOC)OCC;2.662;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
4,5-dimethyl-1,3,2-dioxathiolane 2-oxide;butylene sulfite;BS-2;InChI=1S/C4H8O3S/c1-3-4(2)7-8(5)6-3/h3-4H,1-2H3;CC1C(OS(=O)O1)C;4.957;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
1,3,2-dioxathiolane 2,2-dioxide;1,3,2-dioxathiolane 2,2-dioxide;DTD;InChI=1S/C2H4O4S/c3-7(4)5-1-2-6-7/h1-2H2;C1COS(=O)(=O)O1;4.109;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
4-methyl-1,3,2-dioxathiolane 2,2-dioxide;4-methyl-1,3,2-dioxathiolane 2,2-dioxide;MDTD;InChI=1S/C3H6O4S/c1-3-2-6-8(4,5)7-3/h3H,2H2,1H3;CC1COS(=O)(=O)O1;4.515;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
4-ethyl-1,3,2-dioxathiolane 2,2-dioxide;4-ethyl-1,3,2-dioxathiolane 2,2-dioxide ;MDTD-2;InChI=1S/C4H8O4S/c1-2-4-3-7-9(5,6)8-4/h4H,2-3H2,1H3;CCC1COS(=O)(=O)O1;4.369;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
1,3,2lambda6-benzodioxathiole 2,2-dioxide;phenyl cyclic sulfate;PCS;InChI=1S/C6H4O4S/c7-11(8)9-5-3-1-2-4-6(5)10-11/h1-4H;C1=CC=C2C(=C1)OS(=O)(=O)O2;2.942;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
5H-oxathiole 2,2-dioxide;prop-1-ene-1,3-sultone;PES;InChI=1S/C3H4O3S/c4-7(5)3-1-2-6-7/h1,3H,2H2;C1C=CS(=O)(=O)O1;4.384;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
5-fluorooxolan-2-one;5-fluorooxolan-2-one;g-F-g-BL;InChI=1S/C4H5FO2/c5-3-1-2-4(6)7-3/h3H,1-2H2;C1CC(=O)OC1F;3.973;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
3-fluorooxolane;3-fluorooxolane;;InChI=1S/C4H7FO/c5-4-1-2-6-3-4/h4H,1-3H2;C1COCC1F;3.838;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
3-(trifluoromethyl)oxolane;3-(trifluoromethyl)oxolane;;InChI=1S/C5H7F3O/c6-5(7,8)4-1-2-9-3-4/h4H,1-3H2;C1COCC1C(F)(F)F;3.240;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
2-(trifluoromethyl)oxolane;2-(trifluoromethyl)oxolane;;InChI=1S/C5H7F3O/c6-5(7,8)4-2-1-3-9-4/h4H,1-3H2;C1CC(OC1)C(F)(F)F;3.254;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
2-fluoro-1,3-dioxolane;2-fluoro-1,3-dioxolane;;InChI=1S/C3H5FO2/c4-3-5-1-2-6-3/h3H,1-2H2;C1COC(O1)F;3.773;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
