IUPAC Name;Common Name;Abbreviation;Inchi;SMILES;SAScore;Reference
1-methylsulfonylethane;Ethyl methyl sulfone;EMS;InChI=1S/C3H8O2S/c1-3-6(2,4)5/h3H2,1-2H3;CCS(C)(=O)=O;2.121;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-methylsulfonylpropane;Isopropyl Methyl Sulfone;MiPS(IPMS);InChI=1S/C4H10O2S/c1-4(2)7(3,5)6/h4H,1-3H3;CC(C)S(C)(=O)=O;2.155;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methanesulfonyl fluoride;Methanesulfonyl fluoride;FMS;InChI=1S/CH3FO2S/c1-5(2,3)4/h1H3;CS(=O)(=O)F;2.348;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1,1,1-trifluoro-3-methylsulfonylpropane;1,1,1-Trifluoro-3-(methylsulfonyl)propane;FPMS;InChI=1S/C4H7F3O2S/c1-10(8,9)3-2-4(5,6)7/h2-3H2,1H3;CS(=O)(=O)CCC(F)(F)F;2.440;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-methoxy-2-methylsulfonylethane;Methyl(2-methoxyethyl) sulfone;MEMS;InChI=1S/C4H10O3S/c1-7-3-4-8(2,5)6/h3-4H2,1-2H3;COCCS(C)(=O)=O;2.101;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-ethylsulfonyl-2-methoxyethane;ethyl methoxy ethyl sulfone;EMES;InChI=1S/C5H12O3S/c1-3-9(6,7)5-4-8-2/h3-5H2,1-2H3;CCS(=O)(=O)CCOC;2.234;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-(2-ethylsulfonylethoxy)-2-methoxyethane;1-(2-ethylsulfonylethoxy)-2-methoxyethane;EMEES;InChI=1S/C7H16O4S/c1-3-12(8,9)7-6-11-5-4-10-2/h3-7H2,1-2H3;CCS(=O)(=O)CCOCCOC;2.279;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-ethylsulfonylpropane;Ethyl isopropyl sulfone;EiPS;InChI=1S/C5H12O2S/c1-4-8(6,7)5(2)3/h5H,4H2,1-3H3;CCS(=O)(=O)C(C)C;2.490;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-ethylsulfonyl-2-methylpropane;Ethyl isobutyl sulfone;EiBS;InChI=1S/C6H14O2S/c1-4-9(7,8)5-6(2)3/h6H,4-5H2,1-3H3;CCS(=O)(=O)CC(C)C;2.341;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-ethylsulfonylbutane;2-(Ethylsulfonyl)butane;EsBS;InChI=1S/C6H14O2S/c1-4-6(3)9(7,8)5-2/h6H,4-5H2,1-3H3;CCC(C)S(=O)(=O)CC;3.019;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
